expocode,start_date,end_date,map,legs,region,alias,ship,chief_scientist,carbon_PI,hydrography_PI,oxygen_PI,nutrients_PI,cfc_PI,organics_PI,isotopes_PI,other_pi,measurements,cruise_references,data_files,metadata_report,QC_details
06AQ19840719,1984-07-19,1984-08-07,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19840719.jpg,06AQ19840719,Arctic,"ARCHY, ARKTIS II/3",Polarstern,Gotthilf Hempel,,SIO,SIO,SIO,W.Smethie,,,,"CTDTMP, CTDSAL, CTDOXY, THETA, SALNTY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, REVPRS, REVTMP",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19840719.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113894/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113894.html,https://glodapv2.geomar.de/adjustments/show/06AQ19840719
06AQ19870704,1987-07-04,1987-09-02,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/06AQ19870704.jpg,06AQ19870704,Arctic,ARK IV_3; NAO,Polarstern,J. Thiede,Leif Anderson,,,,P.Jones,,"R. Key, P.Schlosser",,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, CFC-11, CFC-12, CCL4, TCARBN, TRITUM, TRITER, DELO18",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113916/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113916.html,https://glodapv2.geomar.de/adjustments/show/06AQ19870704
06AQ19930806,1993-08-06,1993-10-05,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19930806.jpg,06AQ19930806,Arctic,06ARKIX_4,Polarstern,D.K. Fütterer,L. Anderson,AWI,AWI,AWI,W. Smethie,,"P. Schlosser, Kelly Falkner",W. Smethie - Kr-85,"CTDTMP, CTDSAL, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CFC113, TCARBN, DELO18, BARIUM, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19930806.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113593/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113593.html,https://glodapv2.geomar.de/adjustments/show/06AQ19930806
06AQ19950707,1995-07-07,1995-09-20,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19950707.jpg,06AQ19950707,Arctic,ARK-XI_1,Polarstern,Eike Rachor/J.Meincke,L. Anderson,B.Rudels,E.Rachor,G.Kattner,W.Smethie,,R.Bayer,M.van der Loeff,"CTDTMP, CTDSAL, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, AMMONI, CFC-11, CFC-12, CFC113, ALKALI, PH_TOT, PH_NBS, PH_TMP, RA-226, RA-226E, RA-228, RA-228E, THETA",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/GLODAPv2/Refs/06AQ19950707.html,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116408/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116408.html,https://glodapv2.geomar.de/adjustments/show/06AQ19950707
06AQ19960712,1996-07-12,1996-09-06,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06AQ19960712.jpg,06AQ19960712,Arctic,"06ARKXII, AQN12",Polarstern,E. Augstein,L. Anderson,SIO,,,SIO,,,,"CTDTMP, SALNTY, OXYGEN, SILCAT, NITRAT, PHSPHT, CFC-11, CFC-12, CCL4, TCARBN, ALKALI, PH_SWS, PH_TEMP, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113594/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113594.html,https://glodapv2.geomar.de/adjustments/show/06AQ19960712
06AQ20070728,2007-07-28,2007-10-10,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/ARKXXII_2.jpg,06AQ20070728,Arctic,ARKXXII/2,Polarstern,Ursula Schauer,"Steven van Heuven, S.Ober",,,,,,,,"CTDPRS, CTDTMP, CTDSAL, CTDOXY, OXYGEN, SILCAT, NITRAT, NITRIT, PHSPHT, TCARBN, ALKALI, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0109899/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0109899.html,https://glodapv2.geomar.de/adjustments/show/06AQ20070728
06MT19920701,"1992-07-01,1992-07-26","1992-07-23,1992-08-31",https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/CARINA/06MT19920701.jpg,06MT19920701,Arctic,06MT021/5-6,Meteor,"G. Graf, O. Pfannkuche",K. Pegler,,,,,,,,"CTDTMP, SALNTY, TCARBN, ALKALI, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0113985/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0113985.html,https://glodapv2.geomar.de/adjustments/show/06MT19920701
189119870330,1987-03-30,1987-06-04,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,189119870330,Arctic,"AIRCRAFT87, IOS_Arctic_Database",Aircraft,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/189119870330
18AW19860910,1986-09-10,1986-09-16,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18AW19860910,Arctic,"IOS_Arctic_Database, AW86",Arctic IVIK,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18AW19860910
18DD19870731,1987-07-31,1987-09-07,https://www.ncei.noaa.gov/access/ocean-carbon-acidification-data-system/oceans/RepeatSections/IOS_Arc_Map.png,18DD19870731,Arctic,"IOS_Arctic_Database, tl8707",J.P. Tully,R.W. MacDonald,"C.S. Wong, L. Miller",IOS,IOS,IOS,,IOS,IOS,,"CTDTMP, CTDSAL, SALNTY, CTDOXY, OXYGEN, SILCAT, NITRAT, PHSPHT, NH4, TCARBN, ALKALI, PH_TOT, PH_TMP, DOC, TOC, POC, PON, DELO18, THETA",,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/data/0116709/,https://www.ncei.noaa.gov/data/oceans/ncei/ocads/metadata/0116709.html,https://glodapv2.geomar.de/adjustments/show/18DD19870731
